S.no,District,Regional Office,Monitoring date,Water_Temp,DO,pH,BOD,Turbidity,TA,Chloride ,COD,Magnesium,Sulphate ,TDS,Fluoride
1,Srikakulam,Srikakulam,04.01.2021,24,8.4,8.28,1.4,1.17,148,44,5.2,80,9.4,252,0.46
2,Srikakulam,Srikakulam,04.01.2021,24,6.4,8.1,1.9,2.51,148,68.4,7.6,80,1.2,280,0.32
3,Srikakulam,Srikakulam,04.01.2021,22,6.5,7.47,2,7.85,120,24.4,8.4,48,4.4,184,0.61
5,Srikakulam,Srikakulam,04.01.2021,25,7.5,7.54,2,12.6,120,34.2,7.2,64,4.4,204,0.59
6,Srikakulam,Srikakulam,04.01.2021,22,8,8.05,1.5,1.18,148,141.8,13.6,60,48.2,520,1.01
7,Srikakulam,Srikakulam,04.01.2021,22,8,7.49,1.8,2.28,152,107.6,13.2,92,9.7,380,1.04
8,Srikakulam,Srikakulam,04.01.2021,22,6,7.52,1.8,3.21,240,5430,12.4,1728,1354,12880,1.4
9,Vizianagaram,Vizianagaram,07.01.2021,23,5.9,7.52,1.9,1.9,120,24.4,5.6,60,8.4,192,0.46
10,Vizianagaram,Vizianagaram,07.01.2021,24,6,7.86,1.3,1.52,132,34.2,5.2,60,13.6,236,0.52
12,Vizianagaram,Vizianagaram,07.01.2021,25,7,7.22,1.2,1.63,120,29.3,9.6,60,5,188,0.47
13,Vizianagaram,Vizianagaram,07.01.2021,26,5.9,7.65,1.9,2,132,281,18.8,108,43,744,0.24
14,Visakhapatnam,Visakhapatnam,08.01.2021,26,5.4,7.75,2,7.49,136,141.8,12.8,60,3,424,1.31
15,Visakhapatnam,Visakhapatnam,10.01.2021,26,6.4,7.96,1.9,1.23,120,34.2,6.4,68,19,236,1.12
17,East Godavari,Kakinada,06.01.2021,24,7.2,7.25,2,1.76,124,29.3,5.2,48,8.6,208,0.38
18,East Godavari,Kakinada,06.01.2021,22,3,7.48,2,29.1,144,48.9,9.2,80,11.3,256,0.33
19,East Godavari,Kakinada,04.01.2021,24,1.8,7.11,3.8,5.9,200,440.2,15.2,148,61,1216,1.04
20,East Godavari,Kakinada,06.01.2021,22,8.4,7.69,1.4,5.97,128,34.2,6,60,12.3,220,0.37
21,East Godavari,Kakinada,06.01.2021,25,7.5,7.05,1.8,7.7,120,58.7,7.6,68,12.72,252,0.61
22,East Godavari,Kakinada,04.01.2021,26,1.5,7.56,3.6,7.42,172,317.98,14,164,52.8,860,0.34
23,East Godavari,Kakinada,06.01.2021,24,6,7.13,1.6,2.53,120,48.9,6,60,9.3,232,0.77
24,East Godavari,Kakinada,04.01.2021,25,5.4,7.57,2.4,58,140,9392.6,12.2,2580,369,17392,1.33
25,East Godavari,Kakinada,06.01.2021,24,8.5,7.5,1.5,2.51,80,14.6,5.2,28,4,120,0.58
26,East Godavari,Kakinada,06.01.2021,24,8,7.48,1.6,13,60,14.6,3.2,28,0.66,60,0.42
30,East Godavari,Kakinada,04.01.2021,27,2.3,7.05,2.4,10.2,160,2088.8,14,892,61,4320,1.2
31,East Godavari,Kakinada,06.01.2021,24,8,7.26,1.5,1.27,104,146.7,9.6,56,27.8,448,0.66
32,East Godavari,Kakinada,05.01.2021,27,5.3,7.14,1.7,0.94,200,3865,12.2,1188,523,8352,1.26
34,West Godavari,Eluru,05.01.2021,27,6,7.52,1.8,5.99,80,29.3,7.6,40,7.9,160,0.54
35,West Godavari,Eluru,05.01.2021,23,7,7.36,2,6.83,92,24.4,6.4,40,8,156,0.18
36,West Godavari,Eluru,07.01.2021,22,5.8,7.22,2,2.95,104,4598,10.2,1900,1138.4,10560,1.25
37,West Godavari,Eluru,07.01.2021,24,5.4,7.33,2.6,3.8,280,10762.4,12.6,3538,1897,23256,0.95
38,West Godavari,Eluru,07.01.2021,26,5.6,7.44,1.8,12.51,152,97.8,6.8,100,36.7,420,0.77
39,West Godavari,Eluru,06.01.2021,24,6.1,7.27,1.6,45.9,96,44,5.2,50,12,204,0.64
40,West Godavari,Eluru,05.01.2021,25,5,7.63,1.9,6.52,80,34.2,7.6,44,10.8,172,0.72
41,West Godavari,Eluru,06.01.2021,25,5.7,7.47,2.3,9.73,128,48.9,10.4,56,16.2,260,1.3
43,West Godavari,Eluru,06.01.2021,24,4.3,7.28,2.1,11.9,132,181,9.6,40,33.9,548,0.85
44,West Godavari,Eluru,06.01.2021,25,4.3,7.21,3.3,28.7,120,259,11.2,140,64.5,708,0.82
45,West Godavari,Eluru,06.01.2021,23,4.5,7.16,2.5,20.7,100,48.9,15.6,40,11.7,220,0.29
46,West Godavari,Eluru,05.01.2021,24,5,7.32,1.8,2.12,108,29.3,12,60,7,184,0.42
47,Krishna,Vijayawada,11.01.2021,25,7,7.76,2.2,1,148,82,12,78,62,374,0.73
48,Nellore,Nellore,05.01.2021,20,7.2,7.79,2.8,3,168,96,12,84,64,420,0.96
49,Krishna,Vijayawada,23.01.2021,26,4.4,7.3,2.6,2,160,11800,14,3500,2420,25100,0.76
50,Guntur,Guntur,07.01.2021,23,7.1,7.22,2.4,2,174,93,10,90,66,430,0.89
51,Krishna,Vijayawada,11.01.2021,26,7.3,7.27,2.6,2,156,88,14,80,70,416,0.88
52,Nellore,Nellore,05.01.2021,21,4.2,7.23,2.8,2,158,9700,14,3680,2660,20400,0.94
53,Krishna,Vijayawada,27.01.2021,26,6.2,7.74,3.6,4,280,240,22,144,78,816,1.08
54,Krishna,Vijayawada,27.01.2021,26,5.6,7.82,4.8,5,408,286,40,198,112,1140,1.2
55,Krishna,Vijayawada,11.01.2021,26,6.9,7.13,2.8,2,244,126,12,122,104,620,1.08
56,Krishna,Vijayawada,11.01.2021,27,7,7.75,2,1,150,78,8,78,54,368,0.82
57,Guntur,Guntur,01.01.2021,22,7.3,7.88,2.8,2,146,102,12,86,74,446,0.96
61,Prakasam,Ongole,05.01.2021,22,7.2,8.04,1.2,1,64,12,10,34,5,93,0.22
62,Nellore,Nellore,04.01.2021,20,3.9,7.27,2.4,2,115,26,12.5,80,2700,23000,0.54
64,Krishna,Vijayawada,11.01.2021,26,7.1,7.2,2.6,3,246,114,12,122,92,590,0.96
66,Guntur,Guntur,07.01.2021,22,7.5,7.22,2.6,2,220,72,18,116,36,450,1.16
67,Krishna,Vijayawada,18.01.2021,26,7.5,7.24,2.6,2,286,4600,12,1590,1400,1050,1.18
68,Krishna,Vijayawada,23.01.2021,27,5.1,7.45,2.8,2,178,7800,12,2930,1650,15100,1.08
69,Kurnool,Kurnool,11.01.2021,24,5.5,7.6,2.3,14.1,177,199,20,183,149,738,0.5
70,Kurnool,Kurnool,11.01.2021,24,5.7,7.8,1.5,5.5,163,79,11,101,46,372,0.5
71,Kurnool,Kurnool,19.01.2021,25,5.3,7.8,2.8,2.9,176,174,22,120,100,636,0.2
72,Kurnool,Kurnool,11.01.2021,23,5.4,7.9,1.8,36.2,200,102,14,179,82,493,0.6
73,Kurnool,Kurnool,18.01.2021,24,5.1,7.5,2.5,28.6,124,118,18,116,79,446,0.5
74,Kurnool,Kurnool,11.01.2021,21,5.9,7.7,1.5,1.4,169,80,10,109,52,386,0.4
75,Kurnool,Kurnool,06.01.2021,22,5.2,7.1,2.8,35.9,204,222,21,120,102,779,0.7
76,Kurnool,Kurnool,06.01.2021,24,5.3,6.8,2.3,8.4,200,304,17,92,199,1042,0.6
77,Kurnool,Kurnool,16.01.2021,24,5.5,7.7,1.5,6.9,144,126,11,52,113,542,0.4
78,Kurnool,Kurnool,17.01.2021,23,5.8,7.8,1.2,15.5,136,126,8,80,74,462,0.4
79,Anantapur,Anantapur,05.01.2021,24,5.1,7.5,1.8,18.5,264,122,13,104,41,548,0.6
80,Anantapur,Anantapur,10.01.2021,25,5.3,8,2.5,11,256,139,20,193,44,559,0.6
81,Anantapur,Anantapur,06.01.2021,24,5.7,7,1.2,1.5,112,58,9,64,24,244,0.3
82,Kadapa,Kadapa,11.01.2021,23,5.5,7.5,2.3,26.3,179,98,17,109,43,426,0.4
83,Kadapa,Kadapa,05.01.2021,22,5.5,7.2,2.3,20.6,172,114,16,104,57,479,0.5
84,Kadapa,Kadapa,05.01.2021,20,5.8,7.2,1.5,0.8,104,62,13,52,35,265,0.3
85,Kadapa,Kadapa,11.01.2021,21,5.6,7.9,1.5,1.7,169,40,12,139,39,289,0.3
86,Kadapa,Kadapa,07.01.2021,21,5.7,7.3,1.3,1.6,144,84,9,52,19,326,0.2
87,Chittoor,Tirupathi,07.01.2021,25,6.2,6.8,0.5,1,8,8,4,2,1,26,0.1
88,Chittoor,Tirupathi,05.01.2021,26,5.7,7,0.8,3.1,81,21,6,14,8,142,0.3
89,Chittoor,Tirupathi,06.01.2021,27,4.6,7.2,2.8,1.2,252,110,21,90,30,498,0.4
90,Chittoor,Tirupathi,06.01.2021,26,4.3,7.1,3,7.9,171,128,23,69,25,440,0.5
